epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13926.4,0.64056,0.30788,0.89802,0.98309,0.99731,0.99482,0.76864,0.95983,0.30709,1.04965,0.005842,0.005842,0.005842
44,14250,0.63373,0.30642,0.89751,0.9877,0.98698,0.99474,0.77329,0.95903,0.30936,1.05406,0.005743,0.005743,0.005743
45,14575.3,0.6298,0.30599,0.89359,0.98869,0.98819,0.99457,0.77315,0.95836,0.31189,1.05806,0.005644,0.005644,0.005644
46,14899.8,0.61913,0.30191,0.89199,0.99422,0.98872,0.99476,0.7771,0.96133,0.3171,1.0684,0.005545,0.005545,0.005545
47,15224,0.61313,0.29702,0.89188,0.98599,0.99476,0.99458,0.76997,0.98745,0.32086,1.07529,0.005446,0.005446,0.005446
48,15547.4,0.60376,0.29367,0.89152,0.9934,0.99713,0.99483,0.77331,0.97495,0.31123,1.06751,0.005347,0.005347,0.005347
49,15868.8,0.60101,0.29273,0.8861,0.98558,0.9961,0.99484,0.76679,0.97271,0.30708,1.06233,0.005248,0.005248,0.005248
50,16194.1,0.5854,0.28702,0.87927,0.9928,0.99312,0.99488,0.76615,0.99323,0.31056,1.06959,0.005149,0.005149,0.005149
51,16517.3,0.58065,0.28266,0.87875,0.99283,0.99476,0.99488,0.76986,0.97594,0.30885,1.06351,0.00505,0.00505,0.00505
52,16838.4,0.57694,0.28197,0.88202,0.99094,0.99579,0.9949,0.77536,0.98025,0.31012,1.08882,0.004951,0.004951,0.004951
53,17159.7,0.5699,0.27882,0.87604,0.99006,0.99357,0.99491,0.77396,0.9778,0.31888,1.09368,0.004852,0.004852,0.004852
54,17481.3,0.56427,0.27826,0.87613,0.99051,0.99558,0.99475,0.76734,0.98291,0.31324,1.06977,0.004753,0.004753,0.004753
55,17801.6,0.55905,0.27501,0.87201,0.98555,0.99378,0.99395,0.76896,0.98459,0.31238,1.06912,0.004654,0.004654,0.004654
56,18121.5,0.5549,0.27591,0.86993,0.9885,0.99142,0.99487,0.7733,0.98928,0.31004,1.07574,0.004555,0.004555,0.004555
57,18445.7,0.54834,0.26819,0.87224,0.98924,0.99387,0.99484,0.77033,0.97547,0.3112,1.07403,0.004456,0.004456,0.004456
58,18769.2,0.54111,0.26773,0.86542,0.99349,0.99374,0.99487,0.77374,0.97187,0.30051,1.06939,0.004357,0.004357,0.004357
59,19084.6,0.5383,0.26811,0.86482,0.99038,0.99326,0.99483,0.77335,0.96989,0.29928,1.07058,0.004258,0.004258,0.004258
60,19404.1,0.52997,0.26445,0.86411,0.98999,0.99565,0.99493,0.77388,0.95831,0.30079,1.06848,0.004159,0.004159,0.004159
61,19728.5,0.52224,0.26119,0.86159,0.99244,0.99593,0.99495,0.77947,0.96759,0.3012,1.07147,0.00406,0.00406,0.00406
62,20048.2,0.52211,0.26097,0.86033,0.99182,0.99621,0.99496,0.77504,0.96247,0.29709,1.06363,0.003961,0.003961,0.003961
63,20375.4,0.51591,0.25813,0.85973,0.99216,0.99585,0.99496,0.77034,0.97043,0.30421,1.07098,0.003862,0.003862,0.003862
64,20703.9,0.51269,0.25691,0.85969,0.9926,0.99775,0.99498,0.77749,0.96446,0.29567,1.06623,0.003763,0.003763,0.003763
65,21023.3,0.50569,0.2542,0.85714,0.99123,0.99127,0.99496,0.77563,0.96791,0.29802,1.06977,0.003664,0.003664,0.003664
66,21344.3,0.49706,0.25,0.85055,0.99449,0.99412,0.99496,0.76974,0.96926,0.29726,1.07208,0.003565,0.003565,0.003565
67,21666.4,0.4949,0.2497,0.85332,0.99205,0.99416,0.99497,0.76904,0.9737,0.29785,1.07747,0.003466,0.003466,0.003466
68,21988.5,0.4898,0.24743,0.85148,0.9918,0.99459,0.99497,0.77698,0.96313,0.29469,1.07111,0.003367,0.003367,0.003367
69,22311.8,0.48766,0.24541,0.85266,0.99343,0.9976,0.99498,0.77629,0.964,0.29506,1.08099,0.003268,0.003268,0.003268
70,22633.4,0.48596,0.24419,0.84796,0.99194,0.99586,0.99496,0.77343,0.96119,0.29827,1.08079,0.003169,0.003169,0.003169
71,22955,0.47573,0.24123,0.84889,0.99029,0.99551,0.99493,0.76673,0.95958,0.29714,1.08171,0.00307,0.00307,0.00307
72,23277,0.47336,0.24179,0.85187,0.99233,0.99551,0.99496,0.77521,0.95245,0.29603,1.08018,0.002971,0.002971,0.002971
73,23599.3,0.47409,0.23978,0.85009,0.99228,0.99618,0.99496,0.77841,0.9532,0.3001,1.09738,0.002872,0.002872,0.002872
74,23919.1,0.47129,0.24082,0.84836,0.98971,0.99775,0.99496,0.77637,0.95211,0.30206,1.09402,0.002773,0.002773,0.002773
75,24242.4,0.46529,0.23712,0.8453,0.98859,0.99488,0.99496,0.77551,0.95125,0.30328,1.0867,0.002674,0.002674,0.002674
76,24563.4,0.45316,0.22984,0.83901,0.99054,0.99108,0.99496,0.77799,0.94834,0.30037,1.08051,0.002575,0.002575,0.002575
77,24885.8,0.45503,0.23059,0.84172,0.99186,0.99116,0.99493,0.77793,0.95146,0.30057,1.08304,0.002476,0.002476,0.002476
78,25209.8,0.45132,0.2299,0.8417,0.99079,0.99101,0.99489,0.77786,0.95155,0.30053,1.08226,0.002377,0.002377,0.002377
